,Unnamed: 0,Channel Title,Channel Username,ID,Message,Date,Media Path,Sender ID,Views,Forwards,Reply To Message ID,Reactions,Reply Count
0,3,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4570,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 Sayona Sandwich Grill Maker 
 የሳንዱች፣ስጋ እና የዳቦ መጥበሻ
 2200 watt የሆነ 
 የማይዝ ፓትራ
 በሁለቱም በኩል ሙቀት የሚሰጥ
 ሙቀት መቆጣጠሪያ ቴርሞስታት የተገጠመለት 
 ለአጠቃቀም ቀላል 

                 በ   
           6900

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ""",2024-09-26 11:50:31+00:00,,-1001649695480,3636,2,,0,0
1,5,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4568,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 Saachi Electric Kettle 
 የውሀ ማፍያ ቦይለር 
 1.8ሊትር የሆነ 
 2200W 
 Automatic switch off 
 ውስጡ Stainless steel የሆነ 
  ለአጠቃቀም በጣም ቀላል 

                 በ 
            2700 

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-26 03:45:21+00:00,photos\@modernshoppingcenter_4568.jpg,-1001649695480,5522,0,,0,0
2,9,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4564,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 Single cup Coffe maker
 በኤሌክትሪክ የሚሰራ የብና ማፍያ
 መጠጫ ና መቅጃ የሚሆን ማግ ከነ ክዳኑ 
 ከማይዝግ ብረት የተሰራ
 ቶሎ የማያቀዘቅዝ እና ለጉዞ የሚሆን ማግ
 ለአጠቃቀም ቀላል 
        
                በ
          2700          

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-25 12:29:56+00:00,photos\@modernshoppingcenter_4564.jpg,-1001649695480,7252,11,,0,0
3,14,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4559,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 toilet seat cover
 የሽንት ቤት መቀመጫ ከቨር ልብስ
 እንዳይቀዘቅዝ መከላከያ
 በተለይ ለትልልቅ ሰዎች፣ለህፃናት ተመራጭ
ለማፅዳት በጣም ቀላል
በዚፕ የሚዘጋ
  ለአጠቃቀም ቀላል 

       በ
   650 

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-25 08:34:27+00:00,,-1001649695480,7082,7,,0,0
4,17,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4552,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 ስመ ገናናዉ Sanford electric pressure cooker
 ዘመናዊ የምግብ ማብሰያ
 ሾርባ፣ አተክልት፣ ወጣወጥ፣ አሮስቶ፣  ሩዝ ፣ገንፎ እና መሰል ከ 10 ዓይነት በላይ ምግበችን ሰዓትና ሙቀት መጥኖ ክሽን አድርጎ ያበስልልዎታል
 ውስጡ non stick የሆነ 
 የሙቀትና የሰዓት መቆጣጠሪያ የተገጠመለት
 ለአጠቃቀም ቀላል 

በተለያየ መጠን የቀረበ 

 12 ሌትር        በ
                    14,500 

  9ሌትር        በ
                   12,500

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ""",2024-09-24 17:46:05+00:00,photos\@modernshoppingcenter_4552.jpg,-1001649695480,7923,9,,0,0
5,20,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4549,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 salad bowl
 የሰላጣ ማቅረቢያ
 የራሱ መቆንጠሪያ ማንኪያ ያለዉ
 የራሱ ማቅረቢያ ያለዉ
 ከንፁህ ሸክላ የተሰራ
 ማንኪዉና ማቅረቢያዉ ከባምቦ እንጨት የተሰራ
  በነጭና በጥቁር ከለር የቀረበ

         በ
   4000

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-24 10:49:14+00:00,photos\@modernshoppingcenter_4549.jpg,-1001649695480,8427,7,,0,0
6,21,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4548,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 Electrical Incense Burner
 የኤሌክትሪክ ዕጣን ማጨሻ
 ለቤት፣ ለቢሮና ለፀሎት ቤትዎ  የሚሆኑ 
 ለአጠቃቀም ቀላል 

              በ
        1100 

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ""",2024-09-24 05:44:35+00:00,photos\@modernshoppingcenter_4548.jpg,-1001649695480,9593,5,,0,0
7,24,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4545,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 የሊጥ ማዉረጃ(ዲስፔንሰር)
 ለፓንኬክ፣ለማፍል፣
ለእንቁላል ወዘተ
 የራሱ መክፈቻና መዝጊያ ያለዉ
 የማይዝግ፣የማይሰበር
  ለአጠቃቀም ቀላል 

       በ
    550 

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ150ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

ለክፍለሀገር ደንበኞቻችን በየመናሐሪያ እንልካለን።

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-23 11:47:05+00:00,photos\@modernshoppingcenter_4545.jpg,-1001649695480,10404,13,,0,0
8,28,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4541,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 Multifunctional 3in1electric non Stick Fraying Pan
 3in1 የኤሌክትሪክ መጥበሻ
 በአንድ ጊዜ ሶስት የተለያዪ ነገሮችን መጥበስ የሚችል 
 900watt ሃይል የሚጠቀም
 የማይዝ የማያሳርር ፈጣን የሆነ 
 26cm×42cm ስፋት
 ለማፅዳት እና ለአጠቃቀም ቀላል 
         
           በ
      2500 

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ """,2024-09-23 08:17:28+00:00,,-1001649695480,10992,11,,0,0
9,33,ሞደርን ሾፒንግ ሴንተር MODERN SHOPPING CENTER,@modernshoppingcenter,4536,"""በአዲስ ነገረ ሁሌም ቀዳሚዏች ነን"" 

 Mandoline vegetables slicer 
 ድንች፣ ካሮት፣ዝኩኒ፣ በቀላሉ መክተፋ የሚችል 
 በተለያዩ አይነት ቅርፅ ማውጣት የሚችል 
 ጠንካራ አና ለስራ ፍጥነት የሚያመች 
 ለአጠቃቀም ቀላል 

              በ
        1200 

0924743736
0974978584 

በስራችን ላይ ቅሬታ ካለዎት ብቻ በዚህ ስልክ ደዉለዉ ያሳዉቁን። 
                     0956415152 

የመረጡትን እቃ ለማዘዝ ከታች ባለዉ የ አድራሻ ይላኩልን 


 

አዲስ አበባ ዉስጥ ከ100ብር እስከ 200ብር ብቻ በማስከፈል ያሉበት ድረስ በፈጣን ሞተረኞቻችን እንልክልዏታለን። 

አድራሻ=ቁጥር 1 = ጉርድሾላ ከሴንቸሪ ሞል ትንሽ ዝቅ እንዳሉ ሆሊሲቲ ሴንተር ላይ እንደገቡ ፊትለፊት ከሊፍቱ በግራ በኩል  ሚዛን ላይ M06
           ቁጥር 2 = ጀሞ መስታወትፋብሪካ ፊትለፊት ራሐ ሞል ግራዉንድ ፍሎር ከደረጃዉ ጎን። 

          ""በሞደርን እቃወዏች ሂወትዎን
                   ሞደርናይዝ ያድርጉ""",2024-09-21 16:12:55+00:00,photos\@modernshoppingcenter_4536.jpg,-1001649695480,12593,26,,0,0
